indicativo,nombre,provincia,indsinop,latitud,longitud,altitud
2611D,VILLAFÁFILA,ZAMORA,,415123N,053533W,690
2614,ZAMORA,ZAMORA,08130,413056N,054407W,656
2624C,RIAÑO,LEON,,425730N,050027W,1090
2626Y,CUBILLAS DE RUEDA,LEON,,423712N,051136W,916
2630X,PUERTO DE SAN ISIDRO,LEON,08057,430344N,052237W,1510
2661,"LEÓN, VIRGEN DEL CAMINO",LEON,08055,423518N,053904W,916
2661B,LEÓN AEROPUERTO,LEON,08055,423558N,053837W,912
2664B,VALENCIA DE DON JUAN,LEON,,421745N,053017W,788
2701D,"BARRIOS DE LUNA, MIÑERA",LEON,,425308N,055215W,1120
2728B,"QUINTANA DEL CASTILLO, VILLAMECA",LEON,,423854N,060415W,995
2734D,ASTORGA,LEON,,422836N,060428W,919
2737E,LAGUNAS DE SOMOZA,LEON,08123,422239N,061148W,1020
2742R,BUSTILLO DEL PÁRAMO,LEON,,422759N,054647W,850
2755X,BENAVENTE,ZAMORA,08056,420039N,054000W,715
2766E,"SANABRIA, ROBLEDA-CERVANTES",ZAMORA,,420457N,063823W,933
2775X,VILLARDECIERVOS,ZAMORA,08125,415629N,061647W,850
2777K,SANTIBAÑEZ DE VIDRIALES,ZAMORA,,420441N,060026W,737
2789H,POZUELO DE TABARA,ZAMORA,,414708N,055432W,711
2804F,VILLADEPERA,ZAMORA,,413202N,060831W,790
2811A,NAVARREDONDA DE GREDOS,AVILA,08206,402102N,050835W,1525
2828Y,BARCO DE AVILA,AVILA,,402119N,053109W,1012
2847X,PEDROSILLO DE LOS AIRES   ,SALAMANCA,,404032N,053836W,865
2863C,PEDRAZA DE ALBA  ,SALAMANCA,,404356N,052158W,897
2867,SALAMANCA AEROPUERTO,SALAMANCA,08202,405734N,052954W,790
2870,SALAMANCA,SALAMANCA,08201,405727N,053944W,775
2873X,BARBADILLO,SALAMANCA,,405413N,054647W,817
2882D,PEÑAUSENDE,ZAMORA,08135,411420N,055351W,1003
2885K,FRESNO DE SAYAGO,ZAMORA,,411816N,060120W,804
2891A,VILLARINO DE LOS AIRES,SALAMANCA,,411546N,062744W,690
2914C,BOADILLA FUENTE SAN ESTEBAN,SALAMANCA,,404710N,061210W,785
2916A,VITIGUDINO,SALAMANCA,08129,410041N,062616W,769
2918Y,EL MAÍLLO,SALAMANCA,,403410N,061325W,1027
2926B,BAÑOBÁREZ,SALAMANCA,,405105N,063632W,748
2930Y,NAVASFRÍAS,SALAMANCA,,401748N,064846W,880
2945A,EL BODÓN BASE AÉREA,SALAMANCA,,402906N,063437W,805
2946X,SAELICES EL CHICO,SALAMANCA,08195,403806N,063600W,680
2966D,ALCAÑICES,ZAMORA,,414100N,061805W,840
2969U,A GUDIÑA,OURENSE,,420138N,071059W,910
2978X,VERÍN,OURENSE,,415536N,072519W,380
3013,MOLINA DE ARAGÓN,GUADALAJARA,08232,405030N,015244W,1062
3021Y,ZAOREJAS,GUADALAJARA,,404530N,021159W,1250
3040Y,BETETA,CUENCA,,403418N,020435W,1214
3044X,CAÑIZARES,CUENCA,08230,403149N,020900W,928
3085Y,PASTRANA,GUADALAJARA,,402428N,025711W,920
3094B,TARANCÓN,CUENCA,08277,400043N,030117W,819
3099Y,OCAÑA,TOLEDO,,395607N,032946W,733
3100B,ARANJUEZ,MADRID,08229,400402N,033246W,540
3103,PANTANO EL VADO,GUADALAJARA,,410013N,031807W,910
3104Y,RASCAFRÍA,MADRID,,405323N,035318W,1159
3110C,BUITRAGO DEL LOZOYA,MADRID,08146,410025N,033650W,1030
3111D,SOMOSIERRA,MADRID,08145,410809N,033449W,1454
3125Y,SAN SEBASTIÁN DE LOS REYES,MADRID,,403300N,033700W,672
3126Y,"MADRID, EL GOLOSO",MADRID,,403341N,034243W,740
3129,MADRID AEROPUERTO,MADRID,08221,402800N,033320W,609
3130C,SIGÜENZA,GUADALAJARA,08150,410511N,023705W,1005
3140Y,MANDAYONA,GUADALAJARA,,405906N,024536W,990
3168A,"GUADALAJARA, INSTITUTO",GUADALAJARA,,403805N,031000W,685
3168C,"GUADALAJARA, EL SERRANILLO",GUADALAJARA,08226,403933N,031024W,639
3168D,GUADALAJARA,GUADALAJARA,08226,403749N,030901W,727
3170Y,ALCALA DE HENARES,MADRID,,403142N,031723W,605
3175,TORREJÓN DE ARDOZ,MADRID,08227,402919N,032637W,607
3182Y,ARGANDA DEL REY,MADRID,,401842N,032952W,533
3191E,COLMENAR VIEJO,MADRID,08219,404146N,034554W,1004
3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,08220,402706N,034327W,664
3194Y,POZUELO DE ALARCÓN,MADRID,,402654N,034848W,665
3195,"MADRID, RETIRO",MADRID,08222,402441N,034040W,667
3196,"MADRID, CUATRO VIENTOS",MADRID,08223,402232N,034710W,690
3200,GETAFE,MADRID,08224,401758N,034320W,620
3209Y,BRIHUEGA,GUADALAJARA,,404555N,025227W,835
3229Y,TIELMES,MADRID,,401450N,031842W,594
3245Y,TEMBLEQUE,TOLEDO,,394146N,033021W,635
3254Y,MORA,TOLEDO,,394113N,034650W,717
3259,"TOLEDO, LORENZANA",TOLEDO,,395134N,040132W,540
3260B,TOLEDO,TOLEDO,08272,395305N,040243W,513
3266A,PUERTO ALTO DEL LEÓN,MADRID,08217,404223N,040829W,1530
3268C,ALPEDRETE,MADRID,,403935N,040103W,924
3298X,SAN PABLO DE LOS MONTES,TOLEDO,08270,393249N,042102W,917
3305Y,NAVAHERMOSA,TOLEDO,,393750N,042837W,750
3319D,PUERTO DEL PICO,AVILA,,402023N,050046W,1285
3330Y,ROZAS DE PUERTO REAL,MADRID,,401847N,042914W,890
3337U,CEBREROS,AVILA,,402803N,042721W,850
3338,ROBLEDO DE CHAVELA,MADRID,08212,402543N,041455W,770
3343Y,VALDEMORILLO,MADRID,,402948N,040340W,884
3362Y,CASTILLO DE BAYUELA,TOLEDO,,400630N,044050W,560
3365A,TALAVERA DE LA REINA,TOLEDO,08274,395731N,045149W,372
3386A,NAVALVILLAR DE IBOR,CACERES,,393530N,052330W,923
3391,SOTILLO DE LA ADRADA,AVILA,08208,401719N,043527W,630
3422D,CANDELEDA,AVILA,,400821N,051841W,350
3423I,MADRIGAL DE LA VERA,CACERES,,400914N,052224W,464
3427Y,OROPESA,TOLEDO,,395936N,050652W,345
3434X,NAVALMORAL DE LA MATA,CACERES,08254,395645N,053457W,269
3436D,GARGANTA LA OLLA,CACERES,,400640N,054705W,690
3448X,SERRADILLA,CACERES,,394915N,060739W,406
3455X,JARAICEJO,CACERES,,394012N,054830W,559
3463X,TRUJILLO,CACERES,08263,392857N,055115W,503
3463Y,TRUJILLO,CACERES,08263,392751N,055227W,523
3469,"CÁCERES, CIUDAD",CACERES,,392833N,062235W,459
3469A,CÁCERES,CACERES,08261,392817N,062020W,394
3475X,CAÑAVERAL,CACERES,,394726N,062235W,373
3494U,NUÑOMORAL,CACERES,,402429N,061423W,470
3503,GUIJO DE GRANADILLA,CACERES,,401122N,061003W,393
3504X,HERVÁS,CACERES,,401554N,055140W,724
3512X,MONTEHERMOSO,CACERES,,400451N,062020W,351
3514B,TORNAVACAS,CACERES,,401531N,054042W,991
3516X,PIORNAL,CACERES,,400715N,054957W,1260
3519X,PLASENCIA,CACERES,08252,400235N,060509W,415
3526X,CORIA,CACERES,08251,400013N,063327W,313
3531X,TORRECILLA DE LOS ANGELES,CACERES,,401518N,062442W,459
3536X,HOYOS,CACERES,,401029N,064328W,560
3540X,ZARZA LA MAYOR,CACERES,,395217N,065136W,336
3547X,VALVERDE DEL FRESNO,CACERES,,401226N,065346W,450
3562X,ALISEDA,CACERES,,392539N,064411W,321
3565X,BROZAS,CACERES,,393705N,064442W,425
3576X,VALENCIA DE ALCÁNTARA,CACERES,08260,392453N,071352W,444
4007Y,OSSA DE MONTIEL,ALBACETE,,385757N,024442W,905
4051Y,ALCÁZAR DEL REY,CUENCA,,400340N,024825W,875
4061X,QUINTANAR DE LA ORDEN,TOLEDO,08275,393550N,030254W,691
4064Y,ALCAZAR DE SAN JUAN,CIUDAD REAL,,392327N,031257W,640
4067,MADRIDEJOS,TOLEDO,08273,392931N,033142W,690
4070Y,ABIA DE OBISPALIA,CUENCA,,400108N,022343W,1020
4075Y,VILLARES DEL SAZ,CUENCA,,395025N,023012W,870
4089A,ALBERCA DE ZANCARA,CUENCA,,393101N,022945W,858
4090Y,SAN CLEMENTE,CUENCA,08256,392500N,022514W,728
4091Y,VILLARROBLEDO,ALBACETE,,391543N,023533W,718
4093Y,OSA DE LA VEGA,CUENCA,,393922N,024536W,763
4095Y,BELMONTE,CUENCA,,393319N,024220W,745
4096Y,MUNERA,ALBACETE,,390100N,022920W,918
4103X,TOMELLOSO,CIUDAD REAL,08276,391009N,030027W,662
4116I,ALMAGRO / FAMET,CIUDAD REAL,08349,385703N,034431W,626
4121,CIUDAD REAL,CIUDAD REAL,08348,385921N,035513W,626
4121C,"CIUDAD REAL, INSTITUTO",CIUDAD REAL,,385916N,035545W,627
4138Y,VILLANUEVA DE LOS INFANTES,CIUDAD REAL,,384415N,030016W,900
4147X,VALDEPEÑAS,CIUDAD REAL,08351,384502N,032329W,700
4148,VISO DEL MARQUÉS,CIUDAD REAL,08345,383105N,033400W,804
4193Y,EL ROBLEDO,CIUDAD REAL,,391301N,041658W,587
4195E,"ALCORNOQUERA, PARQUE NACIONAL CABAÑEROS",CIUDAD REAL,,391915N,042342W,651
4210Y,ABENÓJAR,CIUDAD REAL,,385353N,041731W,718
4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,08271,390501N,043719W,533
4236Y,PUERTO REY,CACERES,,392702N,050135W,689
4244X,HERRERA DEL DUQUE,BADAJOZ,08264,391010N,050344W,447
4245X,GUADALUPE,CACERES,,392719N,052000W,660
4260,PERALEDA DEL ZAUCEJO,BADAJOZ,,382847N,053439W,542
4263X,VALSEQUILLO,CORDOBA,,382434N,052102W,575
4267X,HINOJOSA DEL DUQUE,CORDOBA,08335,382954N,050717W,551
4300Y,ALMADÉN,CIUDAD REAL,,384631N,045043W,535
4325Y,CASTUERA,BADAJOZ,,384431N,053145W,459
4339X,CAÑAMERO,CACERES,,391851N,052208W,590
4340,NAVALVILLAR DE PELA,BADAJOZ,,390612N,052741W,313
4347X,ZORITA,CACERES,,391658N,054237W,413
4358X,DON BENITO,BADAJOZ,08333,385720N,055250W,274
4362X,RETAMAL DE LLERENA,BADAJOZ,,383435N,055045W,474
4386B,LLERENA,BADAJOZ,08336,381354N,060101W,655
4395X,VILLAFRANCA DE LOS BARROS,BADAJOZ,,383306N,061824W,430
4410X,MÉRIDA,BADAJOZ,08331,385457N,062308W,228
4411C,ALCUESCAR,CACERES,,391151N,061352W,467
4427X,ZAFRA,BADAJOZ,,382533N,062612W,433
4436Y,ALMENDRALEJO,BADAJOZ,,384120N,062140W,371
4452,BADAJOZ AEROPUERTO,BADAJOZ,08330,385300N,064850W,186
4464X,ALBURQUERQUE,BADAJOZ,,391055N,065943W,283
4468X,PUEBLA DE OBANDO,BADAJOZ,,391036N,063603W,392
4478X,BADAJOZ,BADAJOZ,08329,385310N,070034W,174
4486X,OLIVENZA,BADAJOZ,,384151N,070504W,275
4489X,ALCONCHEL,BADAJOZ,,382905N,071655W,170
4492F,BARCARROTA,BADAJOZ,,382822N,065524W,377
4497X,VILLANUEVA DEL FRESNO,BADAJOZ,,382220N,070929W,247
4499X,MONESTERIO,BADAJOZ,,380453N,061619W,771
4501X,FUENTE DE CANTOS,BADAJOZ,,381231N,061841W,602
4511C,JEREZ DE LOS CABALLEROS,BADAJOZ,08337,381755N,064554W,381
4520X,FREGENAL DE LA SIERRA,BADAJOZ,,381042N,063942W,586
4527X,AROCHE,HUELVA,,375849N,065833W,267
4541X,EL GRANADO,HUELVA,,373313N,073112W,60
4549Y,AYAMONTE,HUELVA,08381,371141N,072342W,3
4554X,CARTAYA,HUELVA,,371306N,070501W,15
4560Y,ALAJAR,HUELVA,08380,375207N,064030W,572
4575X,VALVERDE DEL CAMINO,HUELVA,,373431N,064604W,280
4584X,EL CERRO DE ANDÉVALO,HUELVA,,374354N,065632W,270
4589X,"ALOSNO, THARSIS",HUELVA,,373552N,070710W,276
4605,HUELVA,HUELVA,,371524N,065659W,17
4608X,EL CAMPILLO,HUELVA,,374038N,063748W,415
4622X,VILLARRASA,HUELVA,,372703N,063812W,145
4642E,"HUELVA, RONDA ESTE",HUELVA,08383,371642N,065442W,18
5000A,"CEUTA, MONTE HACHO",CEUTA,,355344N,051732W,200
5000C,CEUTA,CEUTA,60320,355319N,052049W,87
5038X,CAZORLA,JAEN,08353,375457N,030014W,782
5038Y,CAZORLA,JAEN,,375457N,030014W,799
5047E,BAZA,GRANADA,08424,373021N,024406W,785
5051X,HUÉSCAR,GRANADA,08423,375141N,023910W,1100
5060X,VÉLEZ BLANCO - TOPARES,ALMERIA,,375139N,021341W,1190
5103E,"CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA",GRANADA,,370930N,031525W,2152
5103F,"CAMARATE, PARQUE NACIONAL SIERRA NEVADA",GRANADA,,371128N,031514W,1534
5107D,DÓLAR,GRANADA,,371048N,025911W,1197
5164B,BAEZA,JAEN,,375948N,032743W,771
5165X,TORRES,JAEN,,374651N,033349W,910
5181D,ARROYO DEL OJANCO,JAEN,08352,381853N,025323W,580
5192,VILLARRODRIGO,JAEN,08354,382921N,023815W,862
5210X,VILLANUEVA DEL ARZOBISPO,JAEN,,381030N,025953W,680
5246,SANTA ELENA,JAEN,08350,382040N,033207W,770
5270,"JAÉN, INSTITUTO",JAEN,,374635N,034720W,510
5270B,JAÉN,JAEN,08417,374639N,034833W,580
5279X,LINARES,JAEN,,380904N,033746W,515
5281X,BAILÉN,JAEN,,380535N,034657W,345
5298X,ANDÚJAR,JAEN,08347,380123N,040348W,202
5304Y,PUERTOLLANO,CIUDAD REAL,,384008N,040333W,665
5341C,FUENCALIENTE,CIUDAD REAL,,382544N,041806W,710
5346X,CARDEÑA,CORDOBA,,381112N,041621W,720
5361X,MONTORO,CORDOBA,,380048N,041949W,155
5390Y,VILLANUEVA DE CÓRDOBA,CORDOBA,08346,381959N,043632W,750
5394X,"CÓRDOBA, EMBALSE DE GUADANUÑO",CORDOBA,,380115N,044748W,525
5402,CÓRDOBA AEROPUERTO,CORDOBA,08410,375056N,045048W,90
5406X,ALCALÁ LA REAL,JAEN,,372951N,035429W,908
5412X,PRIEGO DE CÓRDOBA,CORDOBA,,372905N,041228W,550
5427X,DOÑA MENCÍA,CORDOBA,08412,373322N,042114W,650
5429X,"CÓRDOBA, PRÁGDENA",CORDOBA,,374837N,042744W,275
5459X,ESPIEL,CORDOBA,,380640N,045543W,465
5470,FUENTE PALMERA,CORDOBA,,374511N,050602W,120
5473X,AZUAGA,BADAJOZ,,381604N,054110W,581
5511,"PRADOLLANO, PARQUE NACIONAL SIERRA NEVADA",GRANADA,,370352N,032217W,3092
5514,GRANADA BASE AÉREA,GRANADA,08420,370814N,033753W,687
5514Z,GRANADA BASE AÉREA,GRANADA,08420,370810N,033800W,695
5515D,VÍZNAR,GRANADA,08421,371413N,033302W,1258
5515X,GRANADA-CARTUJA,GRANADA,,371123N,033544W,775
5516D,SIERRA NEVADA 'RADIOTELESCOPIO',GRANADA,08980,370347N,032313W,2856
5530E,GRANADA AEROPUERTO,GRANADA,08419,371125N,034723W,560
5582A,LOJA,GRANADA,08414,370940N,040910W,760
5598X,BENAMEJÍ,CORDOBA,,371351N,043252W,465
5612B,LA RODA DE ANDALUCÍA,SEVILLA,08399,371140N,044612W,410
5612X,LORA DE ESTEPA,SEVILLA,,371613N,044937W,450
5624X,AGUILAR DE LA FRONTERA,CORDOBA,,372855N,044109W,309
5625X,LA RAMBLA,CORDOBA,,373819N,044550W,200
5641X,ÉCIJA,SEVILLA,08395,373058N,050506W,130
5654X,LA PUEBLA DE LOS INFANTES,SEVILLA,,374712N,052216W,200
5656,FUENTES DE ANDALUCÍA,SEVILLA,,372950N,052559W,165
5702X,CARMONA,SEVILLA,,373356N,054426W,50
5704B,CAZALLA DE LA SIERRA,SEVILLA,08392,375535N,054611W,550
5726X,GUADALCANAL,SEVILLA,,380558N,054909W,720
5733X,ALMADÉN DE LA PLATA,SEVILLA,,374728N,060430W,450
5769X,CALA,HUELVA,,375825N,061920W,618
5783,SEVILLA AEROPUERTO,SEVILLA,08391,372500N,055245W,34
5788X,"TOMARES, ZAUDÍN",SEVILLA,,372142N,060335W,84
5790Y,"SEVILLA, TABLADA",SEVILLA,,372151N,060021W,9
5796,MORÓN DE LA FRONTERA,SEVILLA,08397,370952N,053641W,87
5835X,CARRIÓN DE LOS CÉSPEDES,SEVILLA,,372136N,062003W,76
5858X,ALMONTE,HUELVA,,365919N,062635W,5
5860E,"MOGUER, EL ARENOSILLO",HUELVA,08384,370553N,064417W,41
5891X,LAS CABEZAS DE SAN JUAN,SEVILLA,,365712N,055048W,105
5906X,CHIPIONA,CADIZ,,364500N,062402W,10
5910,"ROTA, BASE NAVAL",CADIZ,08449,363820N,061957W,21
5911A,GRAZALEMA,CADIZ,08455,364538N,052227W,913
5919X,OLVERA,CADIZ,,365554N,051534W,530
5941X,EL BOSQUE,CADIZ,,364346N,053044W,295
5950X,SAN JOSÉ DEL VALLE,CADIZ,,363950N,054700W,105
5960,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,08451,364502N,060321W,27
5972X,SAN FERNANDO,CADIZ,08453,362756N,061220W,28
5973,CÁDIZ,CADIZ,08452,362959N,061528W,2
5983X,MEDINA SIDONIA,CADIZ,,362422N,055513W,70
5995B,VEJER DE LA FRONTERA,CADIZ,08457,361444N,055754W,186
5996B,BARBATE,CADIZ,,361105N,055434W,4
5998X,OSUNA,SEVILLA,,371436N,050645W,255
6000A,MELILLA,MELILLA,60338,351635N,025723W,52
6001,TARIFA,CADIZ,08458,360052N,053550W,45
6032B,RONDA,MALAGA,08443,364459N,051006W,766
6032X,RONDA INSTITUTO,MALAGA,,364460N,051007W,760
6040X,CORTES DE LA FRONTERA,MALAGA,,363240N,052311W,315
6042I,JIMENA DE LA FRONTERA,CADIZ,,362608N,052342W,42
6045X,ALPANDEIRE,MALAGA,,363757N,051211W,676
6050X,GAUCÍN,MALAGA,,363107N,051907W,594
6056X,SAN ROQUE,CADIZ,,361623N,051704W,1
6057X,MANILVA,MALAGA,,362242N,051536W,140
6058I,ESTEPONA,MALAGA,08463,362501N,050918W,19
6069X,BENAHAVÍS,MALAGA,,363237N,050129W,392
6076X,"MARBELLA, PUERTO",MALAGA,,362904N,045711W,2
6083X,MARBELLA,MALAGA,,362860N,044425W,2
6084X,FUENGIROLA,MALAGA,08480,363219N,043706W,8
6088X,TORREMOLINOS,MALAGA,,363714N,043054W,85
6100B,ANTEQUERA AYUNTAMIENTO (AUTOMÁTICA THIES),MALAGA,,370126N,043345W,515
6106X,ANTEQUERA,MALAGA,08413,370146N,044454W,408
6127X,ÁLORA,MALAGA,,365117N,044148W,172
6143X,COÍN,MALAGA,,363928N,044539W,230
6155A,MÁLAGA AEROPUERTO,MALAGA,08482,363958N,042856W,7
6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,08481,364304N,042854W,54
6172O,"MÁLAGA, PUERTO",MALAGA,08479,364300N,042511W,25
6172X,MÁLAGA,MALAGA,,364300N,042511W,25
6175X,RINCÓN DE LA VICTORIA,MALAGA,,364254N,041710W,7
6199X,VÉLEZ-MÁLAGA,MALAGA,,364607N,040537W,41
6201X,ALGARROBO,MALAGA,,364521N,040238W,35
6205X,TORROX,MALAGA,08484,364335N,035726W,3
6213X,NERJA,MALAGA,,364546N,035043W,169
6248D,"CAÑAR, PARQUE NACIONAL SIERRA NEVADA",GRANADA,,365708N,032549W,1732
6258X,LANJARÓN,GRANADA,,365523N,032933W,708
6267X,SALOBREÑA,GRANADA,,364454N,033443W,20
6268X,MOTRIL,GRANADA,08485,364322N,033149W,12
6268Y,"MOTRIL, PUERTO",GRANADA,,364326N,033145W,3
6272X,CASTELL DE FERRO,GRANADA,,364403N,032248W,235
6277B,ADRA,ALMERIA,,364450N,030114W,8
6281X,VÁLOR,GRANADA,,370019N,030417W,1020
6291B,EL EJIDO,ALMERIA,,364629N,024847W,98
6293X,ROQUETAS DE MAR,ALMERIA,08492,364113N,024206W,3
6297,ALMERÍA,ALMERIA,,364952N,022720W,7
6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,,370545N,025752W,2300
6302A,ABLA,ALMERIA,08427,370829N,024648W,869
6307C,"LAÚJAR, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,,370311N,025350W,1713
6307X,LÁUJAR DE ANDARAX,ALMERIA,,370160N,025445W,1510
6312E,"RÁGOL, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,,370115N,024038W,601
6325O,ALMERÍA AEROPUERTO,ALMERIA,08487,365047N,022125W,21
6329X,CABO DE GATA,ALMERIA,,364319N,021135W,42
6332X,CARBONERAS,ALMERIA,08488,365849N,015413W,16
6332Y,CARBONERAS,ALMERIA,08488,365632N,015425W,222
6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,,370636N,024157W,970
6340X,GARRUCHA,ALMERIA,,371009N,014943W,28
6364X,ALBOX,ALMERIA,,372424N,020905W,508
6367B,HUÉRCAL-OVERA,ALMERIA,08428,372326N,015637W,300
6375X,FUENTE DE PIEDRA,MALAGA,,370756N,044431W,420
6381,ALBORÁN,ALMERIA,08490,355618N,030210W,15
7002Y,ÁGUILAS,MURCIA,08432,372502N,013513W,32
7007Y,MAZARRÓN,MURCIA,,373517N,011350W,66
7012C,CARTAGENA,MURCIA,,373604N,005916W,17
7012D,"CARTAGENA, TENTEGORRA",MURCIA,08434,373616N,010124W,56
7012X,TENTENGORRA,MURCIA,,373605N,005925W,2
7019X,CARTAGENA/SALINAS CABO PALOS,MURCIA,,373809N,004256W,2
7020C,MURCIA AEROPUERTO,MURCIA,,374827N,010741W,205
7023X,FUENTE ÁLAMO DE MURCIA,MURCIA,,374335N,011002W,140
7026X,TORRE-PACHECO,MURCIA,,374420N,005803W,50
7031,SAN JAVIER AEROPUERTO,MURCIA,08433,374720N,004812W,4
7031X,SAN JAVIER AEROPUERTO,MURCIA,08433,374642N,004821W,4
7066Y,"YESTE, EMBALSE FUENSANTA",ALBACETE,,382336N,021308W,680
7067Y,NERPIO,ALBACETE,,380518N,022447W,1485
7072Y,YESTE,ALBACETE,,381742N,021738W,960
7080X,MORATALLA,MURCIA,,381606N,015911W,955
7096B,HELLÍN,ALBACETE,08355,383231N,014211W,605
7103Y,TOBARRA,ALBACETE,,383517N,014122W,615
7119B,CARAVACA DE LA CRUZ,MURCIA,08365,380611N,015238W,643
7121A,CALASPARRA,MURCIA,,381403N,014208W,350
7127X,BULLAS,MURCIA,,380257N,014143W,690
7138B,JUMILLA,MURCIA,,382732N,012007W,485
7145X,CIEZA,MURCIA,,381536N,012606W,230
7158X,ARCHENA,MURCIA,,380741N,011821W,150
7172X,MULA,MURCIA,,380229N,012657W,255
7178I,MURCIA,MURCIA,08430,380007N,011015W,62
7195X,"CARAVACA DE LA CRUZ, LOS ROYOS",MURCIA,,375534N,020330W,985
7203A,"LORCA, ZARCILLA DE RAMOS",MURCIA,,375041N,015211W,646
7209,LORCA,MURCIA,08426,373923N,014114W,312
7211B,PUERTO LUMBRERAS,MURCIA,,373405N,014750W,445
7218Y,TOTANA,MURCIA,,374531N,013046W,281
7227X,ALHAMA DE MURCIA,MURCIA,,375142N,012005W,157
7228,"ALCANTARILLA, BASE AÉREA",MURCIA,08429,375728N,011343W,75
7237E,MOLINA DE SEGURA,MURCIA,,380820N,010931W,170
7244X,ORIHUELA,ALICANTE,,380404N,005853W,26
7247X,EL PINÓS/PINOSO,ALICANTE,08357,382359N,010217W,577
7250C,ABANILLA,MURCIA,,381140N,010202W,174
7261X,ROJALES,ALICANTE,08367,380517N,004255W,31
7275C,YECLA,MURCIA,08356,383606N,010935W,640
8005X,FONTANARS DELS ALFORINS,VALENCIA,,384648N,004745W,622
8008Y,VILLENA,ALICANTE,,383437N,005156W,486
8013X,NOVELDA,ALICANTE,,382308N,004528W,233
8018X,ELX/ELCHE,ALICANTE,,381715N,004050W,110
8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,08360,381658N,003415W,43
8025,ALACANT/ALICANTE,ALICANTE,08359,382221N,002939W,81
8036Y,BENIDORM,ALICANTE,,383237N,000816W,36
8050X,JÁVEA/ XÀBIA,ALICANTE,08370,384703N,001000E,15
8057C,PEGO,ALICANTE,,385048N,000706W,60
8058X,OLIVA,VALENCIA,08282,385415N,000354W,1
8058Y,MIRAMAR,VALENCIA,,385701N,000816W,12
8059C,ALCOI/ALCOY,ALICANTE,,384239N,002736W,530
8072Y,BARX,VALENCIA,,390101N,001817W,340
8084Y,PANTANO DE LA TOBA (AUTOMATICA),CUENCA,,401321N,015533W,1154
8096,CUENCA,CUENCA,08231,400402N,020755W,949
8155Y,MOTILLA DEL PALANCAR,CUENCA,,393319N,015455W,830
8175,ALBACETE BASE AÉREA,ALBACETE,08280,385715N,015123W,702
8177A,CHINCHILLA,ALBACETE,08278,385615N,013932W,880
8178D,ALBACETE,ALBACETE,08279,390020N,015144W,674
8193E,JALANCE,VALENCIA,,391230N,010540W,372
8198Y,ALMANSA,ALBACETE,,385102N,010347W,710
8203O,ZARRA,VALENCIA,08283,390459N,010604W,856
8210Y,SALVACAÑETE,CUENCA,,400611N,013013W,1160
8245Y,MIRA,CUENCA,,394252N,012633W,815
8270X,BICORP,VALENCIA,,390801N,004724W,305
8283X,ONTINYENT,VALENCIA,,384946N,003628W,350
8293X,XÀTIVA,VALENCIA,08290,390006N,003123W,88
8300X,CARCAIXENT,VALENCIA,,390648N,002645W,25
8309X,UTIEL,VALENCIA,08281,393432N,011441W,758
8325X,POLINYÀ DE XÚQUER,VALENCIA,08287,391102N,002217W,11
8337X,TURÍS,VALENCIA,,392332N,003729W,186
8354X,ALBARRACÍN,TERUEL,,402511N,012629W,1130
8368U,TERUEL,TERUEL,08235,402103N,010727W,902
8376,JABALOYAS,TERUEL,,401410N,012442W,1430
8381X,ADEMUZ,VALENCIA,,400338N,011701W,705
8395X,CHELVA,VALENCIA,,394512N,005937W,515
8409X,LLÍRIA,VALENCIA,,393950N,003914W,198
8414A,VALENCIA AEROPUERTO,VALENCIA,08284,392906N,002829W,56
8416,VALÈNCIA,VALENCIA,08285,392850N,002159W,13
8416X,"VALENCIA, UPV",VALENCIA,,392846N,002014W,6
8416Y,"VALÈNCIA, VIVEROS",VALENCIA,08285,392851N,002158W,13
8439X,SEGORBE,CASTELLON,,394744N,002907W,400
8446Y,SAGUNT/SAGUNTO,VALENCIA,,394203N,001532W,24
8458X,CEDRILLAS,TERUEL,,402550N,005058W,1380
8472A,MONTANEJOS,CASTELLON,,400516N,003249W,601
8486X,MOSQUERUELA,TERUEL,,402145N,002716W,1515
8489X,VILLAFRANCA DEL CID/VILAFRANCA,CASTELLON,08241,402600N,001520W,1130
8492X,ATZENETA DEL MAESTRAT,CASTELLON,,401338N,001011W,420
8500A,CASTELLÓ - ALMASSORA,CASTELLON,08286,395726N,000419W,43
8501,CASTELLÓ DE LA PLANA,CASTELLON,,395921N,000156W,23
8503Y,TORREBLANCA,CASTELLON,,401241N,001101E,35
8520X,LA POBLA DE BENIFASSÀ-FREDES,CASTELLON,,404137N,000955E,1165
8523X,VINARÒS,CASTELLON,08239,403315N,002547E,111
9001D,REINOSA,CANTABRIA,08032,425931N,040938W,870
9001S,ALTO CAMPOO,CANTABRIA,08061,430212N,042228W,1650
9012E,SANTA GADEA DE ALFOZ,BURGOS,,425705N,035726W,915
